,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
9141,International La...,4.0,(58 Reviews),Gurgaon + 1 more,17 years old,201-500 Employees (India),
9142,Camlin Fine Scie...,3.9,(58 Reviews),Public,Mumbai + 6 more,92 years old,501-1k Employees (India)
9143,Artefact Project...,2.4,(58 Reviews),Public,"Nagpur,Maharashtra + 6 more",36 years old,51-200 Employees (India)
9144,Intec Infra-Tech...,3.6,(58 Reviews),Private,"Gurgaon/Gurugram,Haryana",27 years old,51-200 Employees (India)
9145,Naresh i Technol...,4.1,(58 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 2 more",19 years old,11-50 Employees (India)
9146,Qualitas Global ...,3.4,(58 Reviews),LLP,"Pune,Maharashtra",9 years old,201-500 Employees (India)
9147,Bellfast Managem...,3.6,(58 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 14 more",28 years old,11-50 Employees (India)
9148,Sekhani Industri...,3.6,(58 Reviews),Ahmedabad + 14 more,53 years old,51-200 Employees (India),
9149,ACS Technologies,3.8,(58 Reviews),Private,Hyderabad + 10 more,43 years old,51-200 Employees (India)
9150,Conceptia Softwa...,3.9,(58 Reviews),Private,"Bengaluru/Bangalore,Karnataka + 6 more",22 years old,501-1k Employees (India)
9151,Alliance Group,3.9,(58 Reviews),Private,Chennai + 5 more,19 years old,501-1k Employees (Global)
9152,Eidiko Systems I...,3.4,(58 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 1 more",13 years old,201-500 Employees (India)
9153,PICL,3.7,(58 Reviews),Faridabad + 1 more,29 years old,51-200 Employees (India),
9154,Kyb Conmat,4.1,(58 Reviews),Vadodara + 10 more,21 years old,201-500 Employees (India),
9155,WWF-India,3.5,(58 Reviews),NGO/NPO,"Delhi/NCR,Delhi + 9 more",54 years old,51-200 Employees (India)
9156,Pathfinder Educa...,3.2,(58 Reviews),Private,Kolkata + 10 more,33 years old,51-200 Employees (India)
9157,Privi Life Scien...,3.5,(58 Reviews),Private,"Navi Mumbai,Maharashtra + 9 more",14 years old,51-200 Employees (India)
9158,East West Seeds,4.5,(58 Reviews),Private,"Nonthaburi,Bangkok + 14 more",41 years old,51-200 Employees (India)
9159,LeewayHertz Tech...,3.8,(58 Reviews),Private,"San Francisco,California + 1 more",16 years old,51-200 Employees (India)
9160,Bhagwan Mahaveer...,4.5,(58 Reviews),Jaipur + 1 more,26 years old,201-500 Employees (India),
9161,Chemspec Chemica...,3.1,(58 Reviews),Private,"Mumbai,Maharashtra + 2 more",45 years old,51-200 Employees (India)
9162,Magnaquest Techn...,3.9,(58 Reviews),Private,"Hyderabad,Telangana + 3 more",27 years old,201-500 Employees (India)
9163,Segula Technolog...,3.2,(58 Reviews),Private,Nanterre + 2 more,17 years old,201-500 Employees (India)
9164,Bikaji Foods,3.9,(58 Reviews),Public,Bikaner + 12 more,36 years old,1k-5k Employees (India)
9165,NEMHANS SOLUTION...,3.8,(58 Reviews),Bhubaneswar + 12 more,16 years old,51-200 Employees (India),
9166,Indo European Ed...,4.4,(58 Reviews),Public,"Delhi/NCR,Delhi + 5 more",20 years old,51-200 Employees (India)
9167,Teemage Precast ...,3.8,(58 Reviews),Tirupur + 4 more,12 years old,201-500 Employees (India),
9168,Oasis,3.9,(58 Reviews),Private,Burlington + 20 more,30 years old,1k-5k Employees (India)
9169,Pigeon India,4.4,(58 Reviews),Private,Tokyo + 9 more,66 years old,51-200 Employees (India)
9170,Kalburgi Cement,3.7,(58 Reviews),Private,Hyderabad + 5 more,15 years old,50k-1 Lakh Employees (India)
9171,Exemed Pharmaceu...,3.9,(58 Reviews),Vadodara + 2 more,14 years old,51-200 Employees (India),
9172,S.L. Raheja Hosp...,3.8,(58 Reviews),Mumbai,42 years old,201-500 Employees (India),
9173,Fairfield  Marri...,4.2,(58 Reviews),Bengaluru + 15 more,36 years old,5k-10k Employees (Global),
9174,Kalinga Universi...,3.3,(58 Reviews),Raipur + 5 more,10 years old,201-500 Employees (India),
9175,Symbiosys Techno...,3.2,(58 Reviews),Private,"Visakhapatnam/Vizag,Andhra Pradesh + 3 more",22 years old,51-200 Employees (India)
9176,National Environ...,4.5,(58 Reviews),Nagpur + 6 more,65 years old,501-1k Employees (India),
9177,Alpha Maier,3.8,(58 Reviews),Gurgaon + 6 more,12 years old,51-200 Employees (India),
9178,The Kothari Whee...,4.0,(58 Reviews),Pune + 1 more,17 years old,201-500 Employees (India),
9179,Al Mulla Group,4.0,(58 Reviews),Private,Kuwait City + 6 more,85 years old,10k-50k Employees (Global)
9180,Nivara Home Fina...,3.3,(58 Reviews),Private,"Bengaluru,Karnataka + 14 more",9 years old,51-200 Employees (India)
9181,Margdarshak Fina...,3.4,(58 Reviews),Private,Lucknow + 20 more,16 years old,51-200 Employees (India)
9182,Eicher,4.0,(58 Reviews),"Delhi/NCR,New Delhi + 27 more",75 years old,501-1k Employees (India),
9183,Merlin Group,4.2,(58 Reviews),Kolkata + 4 more,39 years old,51-200 Employees (Global),
9184,Johari Digital H...,3.2,(58 Reviews),Public,Jodhpur + 1 more,44 years old,51-200 Employees (India)
9185,Continental Tyre...,3.9,(58 Reviews),Private,Bhopal + 11 more,31 years old,
9186,Mahatma Gandhi M...,4.1,(58 Reviews),Jaipur + 9 more,23 years old,501-1k Employees (India),
9187,Bharti Hospital,3.8,(58 Reviews),Pune + 9 more,11-50 Employees (India),,
9188,Yoma Multination...,3.7,(58 Reviews),Private,Gurugram + 15 more,11 years old,51-200 Employees (India)
9189,Sapphire Interna...,2.8,(58 Reviews),Private,Noida + 8 more,20 years old,51-200 Employees (Global)
9190,Precision Seals ...,3.9,(58 Reviews),Pune,34 years old,,
9191,Swarna Pragati H...,4.3,(58 Reviews),Nagpur + 19 more,14 years old,51-200 Employees (India),
9192,Naresh i Technol...,4.1,(58 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 2 more",19 years old,11-50 Employees (India)
9193,International La...,4.0,(58 Reviews),Gurgaon + 1 more,17 years old,201-500 Employees (India),
9194,Railrestro.com,4.7,(58 Reviews),"Patna,Bihar",8 years old,51-200 Employees (India),
9195,Camlin Fine Scie...,3.9,(58 Reviews),Public,Mumbai + 6 more,92 years old,501-1k Employees (India)
9196,MPOnline,3.9,(58 Reviews),Public,Bhopal + 5 more,17 years old,201-500 Employees (India)
9197,Joister Infomedi...,3.3,(58 Reviews),Mumbai + 3 more,21 years old,1k-5k Employees (India),
9198,Consilio,4.0,(58 Reviews),Private,Washington + 3 more,21 years old,201-500 Employees (India)
9199,Infocus Technolo...,3.1,(58 Reviews),Private,"Kolkata,West Bengal + 8 more",16 years old,11-50 Employees (India)
9200,Artefact Project...,2.4,(58 Reviews),Public,"Nagpur,Maharashtra + 6 more",36 years old,51-200 Employees (India)
9201,Intec Infra-Tech...,3.6,(58 Reviews),Private,"Gurgaon/Gurugram,Haryana",27 years old,51-200 Employees (India)
9202,Rain Industries,4.1,(58 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 4 more",49 years old,201-500 Employees (India)
9203,Kich Architectur...,3.7,(58 Reviews),Private,"Rajkot,Gujarat + 12 more",20 years old,51-200 Employees (India)
9204,Selling Simplifi...,4.0,(58 Reviews),Private,"Greenwood Village,Colorado + 1 more",11 years old,201-500 Employees (India)
9205,HERO ECOTECH,4.2,(58 Reviews),Public,Ludhiana + 2 more,13 years old,51-200 Employees (India)
9206,Nextra Teleservi...,2.6,(58 Reviews),Private,"Delhi/NCR,Delhi + 5 more",17 years old,51-200 Employees (India)
9207,Guru Nanak Publi...,4.3,(58 Reviews),Public,New Delhi + 17 more,59 years old,51-200 Employees (India)
9208,Lindstrom Servic...,3.7,(58 Reviews),Helsinki + 11 more,175 years old,501-1k Employees (India),
9209,Destimoney Secur...,2.9,(58 Reviews),Private,"Mumbai,Maharashtra + 19 more",17 years old,501-1k Employees (India)
9210,Phi Seeds,4.3,(58 Reviews),Private,Hyderabad + 22 more,47 years old,10k-50k Employees (Global)
9211,Itmantra Techint...,3.0,(58 Reviews),Private,"Mumbai,Maharashtra + 17 more",23 years old,51-200 Employees (Global)
9212,Seva Automotive,3.2,(58 Reviews),Private,Nasik + 4 more,38 years old,201-500 Employees (India)
9213,Gits Food Produc...,3.7,(58 Reviews),Private,Mumbai + 19 more,60 years old,201-500 Employees (India)
9214,Jasubhai Enginee...,3.7,(58 Reviews),Private,Mumbai + 9 more,56 years old,51-200 Employees (India)
9215,Hpcl Mumbai Refi...,4.4,(58 Reviews),Mumbai + 6 more,1k-5k Employees (India),,
9216,Rij Engineering,3.7,(58 Reviews),Private,Pune,32 years old,51-200 Employees (India)
9217,Indian Army Corp...,4.8,(58 Reviews),New Delhi + 23 more,243 years old,50k-1 Lakh Employees (India),
9218,Arvind Textile M...,4.5,(58 Reviews),"Ahmedabad,Gujarat + 10 more",92 years old,10k-50k Employees (Global),
9219,Cambridge Cour...,4.8,(58 Reviews),,,,
9220,Pradhan Mantri K...,4.1,(58 Reviews),"Delhi,delhi + 38 more",10k-50k Employees (India),,
9221,YES SECURITIES,3.8,(58 Reviews),Mumbai + 16 more,501-1k Employees (India),,
9222,6Sense,4.2,(58 Reviews),Private,"San Francisco,California",10 years old,201-500 Employees (India)
9223,Advics North Ind...,4.3,(58 Reviews),51-200 Employees (India),,,
9224,Wheels India - T...,3.6,(58 Reviews),Chennai + 6 more,1k-5k Employees (India),,
9225,Comcast India En...,4.3,(58 Reviews),"Chennai,Tamil Nadu",60 years old,1k-5k Employees (India),
9226,Tata Docomo,3.7,(58 Reviews),Mumbai + 25 more,27 years old,1k-5k Employees (India),
9227,Proziod Analytic...,3.9,(58 Reviews),Private,"Bengaluru/Bangalore,Karnataka",7 years old,51-200 Employees (India)
9228,Daurala Sugar Wo...,4.2,(58 Reviews),501-1k Employees (India),,,
9229,JUNIPER GREEN EN...,4.1,(58 Reviews),"Delhi,NCT + 6 more",5 years old,51-200 Employees (India),
9230,DHL IT Services,4.2,(58 Reviews),Chennai + 1 more,501-1k Employees (India),,
9231,Inlead Electroni...,3.7,(58 Reviews),"Shenzhen,Guangdong + 17 more",19 years old,10k-50k Employees (India),
9232,Globsyn-3rdLife,2.5,(58 Reviews),"Calcutta,west Bengal",6 years old,1k-5k Employees (India),
9233,Maxbhi.Com,4.6,(58 Reviews),New Delhi + 6 more,,,
9234,Salarycanyon,4.8,(58 Reviews),Private,"Greater Noida,Uttar Pradesh + 3 more",2 years old,51-200 Employees (India)
9235,Zypp Electric,4.0,(58 Reviews),Private,"Gurgaon,Haryana",6 years old,201-500 Employees (India)
9236,Ashv Finance,4.5,(58 Reviews),Mumbai + 19 more,51-200 Employees (India),,
9237,MeeSeva Center,4.4,(58 Reviews),Hyderabad/Secunderabad + 22 more,10k-50k Employees (India),,
9238,Avantel,4.1,(58 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 2 more",33 years old,51-200 Employees (India)
9239,V2soft,3.9,(58 Reviews),Private,"Bloomfield Hills,Michigan + 2 more",25 years old,51-200 Employees (India)
9240,E2E Networks,3.9,(58 Reviews),Public,"Delhi,NCT + 5 more",14 years old,51-200 Employees (India)
9241,Dhanush InfoTech,3.6,(58 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 6 more",15 years old,51-200 Employees (India)
9242,Shivalik Rasayan,3.4,(58 Reviews),Public,New Delhi + 6 more,42 years old,51-200 Employees (India)
9243,Crystal Voxx,4.0,(58 Reviews),LLP,Larenceville + 2 more,31 years old,51-200 Employees (India)
9244,Affordplan,2.7,(58 Reviews),Private,"Delhi,NCT + 10 more",7 years old,201-500 Employees (India)
9245,The Walt Disney ...,4.3,(107 Reviews),Private,"Burbank,California + 9 more",100 years old,5k-10k Employees (India)
9246,Ranosys Technolo...,4.2,(57 Reviews),Private,Singapore + 2 more,15 years old,201-500 Employees (India)
9247,ITM,3.3,(57 Reviews),Private,"Munich,Bavaria + 24 more",32 years old,5k-10k Employees (India)
9248,PCI,3.7,(57 Reviews),Private,New Delhi + 15 more,75 years old,201-500 Employees (India)
9249,Unique Enterpris...,3.7,(57 Reviews),Private,New Delhi + 16 more,25 years old,11-50 Employees (India)
9250,Balaji Telefilms,3.3,(57 Reviews),Public,"Mumbai,Maharashtra + 6 more",29 years old,201-500 Employees (India)
9251,Mckinsey Knowled...,4.3,(57 Reviews),"Chennai,Tamil Nadu + 4 more",25 years old,1k-5k Employees (India),
9252,Etech,4.2,(57 Reviews),Private,Nacogdoches + 5 more,26 years old,1k-5k Employees (India)
9253,VAP Technology,3.4,(57 Reviews),Kolkata,12 years old,501-1k Employees (India),
9254,Tejora,3.8,(57 Reviews),Private,Mumbai + 4 more,20 years old,51-200 Employees (India)
9255,Usha Shriram Ent...,2.0,(57 Reviews),Private,New Delhi + 17 more,40 years old,501-1k Employees (India)
9256,Motorola Solutio...,3.9,(57 Reviews),Private,"Gurgaon/Gurugram,Illinois + 3 more",24 years old,1k-5k Employees (India)
9257,Indian Potash,4.0,(57 Reviews),Private,Chennai + 16 more,68 years old,1k-5k Employees (India)
9258,SPM Instrument,4.3,(57 Reviews),Private,Strangnas + 5 more,53 years old,51-200 Employees (India)
9259,Sacred Heart Sch...,4.4,(57 Reviews),Private,"Yankton,SD (US) + 21 more",51-200 Employees (India),
9260,PISOFTEK,3.3,(57 Reviews),Private,"Noida,Uttar Pradesh",27 years old,11-50 Employees (India)
9261,Kaivalya Educati...,4.0,(57 Reviews),Private,Ahmedabad + 16 more,15 years old,201-500 Employees (Global)
9262,Accutech Power S...,4.0,(57 Reviews),Private,"Mumbai,Maharashtra + 5 more",53 years old,501-1k Employees (India)
9263,Mothercare,4.0,(57 Reviews),Public,Watford + 18 more,62 years old,51-200 Employees (India)
9264,HR+,3.9,(57 Reviews),Private,Ashford + 20 more,17 years old,1-10 Employees (Global)
9265,Mizuho Bank,3.8,(57 Reviews),Private,Tokyo + 6 more,21 years old,501-1k Employees (India)
9266,Orbit Technologi...,3.1,(57 Reviews),Private,Hyderabad + 16 more,28 years old,51-200 Employees (India)
9267,Sgt Medical Coll...,3.7,(57 Reviews),Private,Gurgaon + 4 more,13 years old,501-1k Employees (India)
9268,vConstruct,4.0,(57 Reviews),Private,"Pune,Maharashtra",10 years old,201-500 Employees (India)
9269,Boutique Interna...,3.7,(57 Reviews),Noida + 10 more,40 years old,51-200 Employees (India),
9270,Sterling Generat...,4.3,(57 Reviews),Mumbai + 9 more,28 years old,1k-5k Employees (India),
9271,Damas Jewellery,4.2,(57 Reviews),Dubai + 7 more,116 years old,1k-5k Employees (Global),
9272,Provab Technosof...,3.7,(57 Reviews),Private,"Bangalore/Bengaluru,Karnataka",20 years old,201-500 Employees (India)
9273,Ardom Telecom,3.8,(57 Reviews),Gurgaon + 7 more,14 years old,,
9274,Global Market In...,3.6,(57 Reviews),Private,Selbyville,8 years old,201-500 Employees (India)
9275,Sanathan Textile...,4.4,(57 Reviews),Mumbai + 4 more,22 years old,201-500 Employees (India),
9276,The Beer Cafe,3.7,(57 Reviews),Private,"Gurgaon,Haryana + 9 more",11 years old,201-500 Employees (India)
9277,JSS Medical Rese...,3.5,(57 Reviews),Saint-Laurent + 9 more,38 years old,201-500 Employees (India),
9278,Harrisons Malaya...,4.3,(57 Reviews),Public,"Kochi/Cochin,Kerala + 7 more",179 years old,1k-5k Employees (India)
9279,NMC Healthcare,3.8,(57 Reviews),Abu Dhabi + 6 more,49 years old,10k-50k Employees (India),
9280,HealthAssure,3.6,(57 Reviews),Private,"Mumbai,Maharashtra + 5 more",12 years old,51-200 Employees (India)
9281,Etech,4.2,(57 Reviews),Private,Nacogdoches + 5 more,26 years old,1k-5k Employees (India)
9282,Utkal Automobile...,4.3,(57 Reviews),Bhubaneswar + 5 more,68 years old,201-500 Employees (India),
9283,Sunstar Precisio...,4.1,(57 Reviews),Greater Noida + 2 more,18 years old,,
9284,Suryalakshmi Cot...,3.4,(57 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 6 more",61 years old,501-1k Employees (India)
9285,Insta Exhibition,3.2,(57 Reviews),Private,Mumbai + 5 more,20 years old,201-500 Employees (India)
9286,Ruparel Realty,3.7,(57 Reviews),Private,Mumbai + 2 more,23 years old,201-500 Employees (India)
9287,CLEARSYNTH,3.5,(57 Reviews),"Mumbai,Maharashtra + 1 more",14 years old,201-500 Employees (India),
9288,Uniworld Logisti...,3.7,(57 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 13 more",21 years old,201-500 Employees (India)
9289,Asit C Mehta Inv...,3.9,(57 Reviews),Private,"Mumbai,Maharashtra + 9 more",38 years old,51-200 Employees (India)
9290,Golden Tulip Cha...,3.9,(57 Reviews),Private,Puteaux + 13 more,61 years old,11-50 Employees (India)
9291,HR+,3.9,(57 Reviews),Private,Ashford + 20 more,17 years old,1-10 Employees (Global)
9292,Accutech Power S...,4.0,(57 Reviews),Private,"Mumbai,Maharashtra + 5 more",53 years old,501-1k Employees (India)
9293,Naiknavare Devel...,3.6,(57 Reviews),Private,"Pune,Maharashtra + 1 more",37 years old,201-500 Employees (India)
9294,Indian Potash,4.0,(57 Reviews),Private,Chennai + 16 more,68 years old,1k-5k Employees (India)
9295,Sacred Heart Sch...,4.4,(57 Reviews),Private,"Yankton,SD (US) + 21 more",51-200 Employees (India),
9296,Net2source,3.2,(57 Reviews),Private,New Jersey + 1 more,16 years old,1k-5k Employees (Global)
9297,Ranosys Technolo...,4.2,(57 Reviews),Private,Singapore + 2 more,15 years old,201-500 Employees (India)
9298,MES,4.0,(57 Reviews),Private,Rockville + 21 more,31 years old,
9299,Ambrane India,3.9,(57 Reviews),Private,"Delhi/NCR,New Delhi + 4 more",11 years old,201-500 Employees (India)
9300,The Jain Interna...,4.1,(57 Reviews),Bengaluru + 11 more,33 years old,51-200 Employees (India),
9301,Hindustan Compos...,3.5,(57 Reviews),Public,Mumbai + 7 more,59 years old,501-1k Employees (India)
9302,Harsha Abakus So...,4.5,(57 Reviews),Ahmedabad + 4 more,13 years old,51-200 Employees (India),
9303,Mckinsey Knowled...,4.3,(57 Reviews),"Chennai,Tamil Nadu + 4 more",25 years old,1k-5k Employees (India),
9304,Raffles Educity,4.6,(57 Reviews),Private,"Chandigarh,Chandigarh + 10 more",16 years old,51-200 Employees (India)
9305,Suguna Poultry F...,4.6,(57 Reviews),Coimbatore + 23 more,39 years old,,
9306,Bandhan Financia...,3.7,(57 Reviews),Public,"Kolkata,West Bengal + 23 more",22 years old,10k-50k Employees (Global)
9307,Pentair Water In...,3.7,(57 Reviews),Private,London + 5 more,57 years old,201-500 Employees (India)
9308,Tejora,3.8,(57 Reviews),Private,Mumbai + 4 more,20 years old,51-200 Employees (India)
9309,Usha Shriram Ent...,2.0,(57 Reviews),Private,New Delhi + 17 more,40 years old,501-1k Employees (India)
9310,SPM Instrument,4.3,(57 Reviews),Private,Strangnas + 5 more,53 years old,51-200 Employees (India)
9311,Amplifon,3.4,(57 Reviews),Private,"Milan,Milan + 17 more",73 years old,201-500 Employees (India)
9312,Orbit Technologi...,3.1,(57 Reviews),Private,Hyderabad + 16 more,28 years old,51-200 Employees (India)
9313,Mothercare,4.0,(57 Reviews),Public,Watford + 18 more,62 years old,51-200 Employees (India)
9314,LGB Forge,3.6,(57 Reviews),Public,"Coimbatore,Tamil Nadu + 4 more",17 years old,51-200 Employees (India)
9315,Netcon Technolog...,4.2,(57 Reviews),Private,"Coimbatore,Tamil Nadu + 7 more",16 years old,201-500 Employees (India)
9316,Computer Generat...,3.2,(57 Reviews),Private,New York + 2 more,39 years old,201-500 Employees (India)
9317,Motorola Solutio...,3.9,(57 Reviews),Private,"Gurgaon/Gurugram,Illinois + 3 more",24 years old,1k-5k Employees (India)
9318,VAP Technology,3.4,(57 Reviews),Kolkata,12 years old,501-1k Employees (India),
9319,PISOFTEK,3.3,(57 Reviews),Private,"Noida,Uttar Pradesh",27 years old,11-50 Employees (India)
9320,Balaji Telefilms,3.3,(57 Reviews),Public,"Mumbai,Maharashtra + 6 more",29 years old,201-500 Employees (India)
9321,Ceragem,3.4,(57 Reviews),Los Angeles + 18 more,25 years old,1k-5k Employees (India),
9322,Bhagwan Mahaveer...,4.0,(57 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 3 more",48 years old,51-200 Employees (India)
9323,Kosan Crisplant,4.2,(57 Reviews),Randers + 11 more,72 years old,11-50 Employees (India),
9324,Lubi Electronics,4.4,(57 Reviews),Private,"Ahmedabad,Gujarat + 11 more",58 years old,1k-5k Employees (India)
9325,Mizuho Bank,3.8,(57 Reviews),Private,Tokyo + 6 more,21 years old,501-1k Employees (India)
9326,Jindal ITF,4.2,(57 Reviews),Public,New Delhi + 10 more,16 years old,51-200 Employees (India)
9327,Laxmi Enterprise...,4.1,(57 Reviews),Pune + 23 more,9 years old,11-50 Employees (India),
9328,Consultancy Serv...,4.2,(57 Reviews),Private,Rajkot + 21 more,13 years old,11-50 Employees (India)
9329,Raaj Khosla & Co...,3.6,(57 Reviews),New Delhi + 11 more,1k-5k Employees (India),,
9330,Volansys Technol...,3.8,(57 Reviews),Private,"Santa Clara,California",15 years old,201-500 Employees (India)
9331,LARVOL,4.3,(57 Reviews),San Francisco + 7 more,19 years old,51-200 Employees (India),
9332,Castex Technolog...,4.1,(57 Reviews),Public,New Delhi + 3 more,40 years old,201-500 Employees (India)
9333,Happy Forging,3.7,(57 Reviews),Public,Ludhiana,44 years old,1k-5k Employees (India)
9334,Saffron Lifestyl...,4.2,(57 Reviews),Private,Ahmedabad + 10 more,26 years old,51-200 Employees (India)
9335,Sandip Foundatio...,3.7,(57 Reviews),Private,"Nasik/Nashik,Maharashtra + 6 more",18 years old,1k-5k Employees (India)
9336,As Enterprises,3.7,(57 Reviews),Private,New Delhi + 21 more,52 years old,11-50 Employees (Global)
9337,S & T Engineers ...,4.2,(57 Reviews),Private,"Coimbatore,Tamil Nadu + 8 more",27 years old,501-1k Employees (India)
9338,Ergos Life Scien...,3.8,(57 Reviews),Private,Mumbai + 13 more,6 years old,51-200 Employees (India)
9339,Father Muller Me...,4.4,(57 Reviews),Mangaluru + 1 more,143 years old,1k-5k Employees (India),
9340,Anand Rathi Info...,3.3,(57 Reviews),Private,Jodhpur + 1 more,29 years old,201-500 Employees (Global)
9341,Triveni Almirah,3.6,(57 Reviews),"Noida,Uttar Pradesh + 7 more",23 years old,51-200 Employees (India),
9342,Stashfin,3.2,(57 Reviews),Private,"Delhi,NCT + 10 more",7 years old,11-50 Employees (India)
9343,Quaere e-Technol...,4.6,(57 Reviews),Private,"Lucknow,Uttar Pradesh + 1 more",16 years old,51-200 Employees (India)
9344,Secure Network S...,4.6,(57 Reviews),Private,Chennai + 6 more,23 years old,51-200 Employees (India)
9345,Sun Pharma Advan...,4.2,(57 Reviews),Public,Mumbai + 8 more,17 years old,201-500 Employees (India)
9346,SembCorp,3.8,(57 Reviews),Public,Singapore + 9 more,25 years old,501-1k Employees (India)
9347,Kaivalya Educati...,4.0,(57 Reviews),Private,Ahmedabad + 16 more,15 years old,201-500 Employees (Global)
9348,PCI,3.7,(57 Reviews),Private,New Delhi + 15 more,75 years old,201-500 Employees (India)
9349,ITM,3.3,(57 Reviews),Private,"Munich,Bavaria + 24 more",32 years old,5k-10k Employees (India)
9350,Omnicom Media Gr...,3.6,(57 Reviews),Private,"New York,New York + 5 more",50 years old,201-500 Employees (India)
9351,Unique Enterpris...,3.7,(57 Reviews),Private,New Delhi + 16 more,25 years old,11-50 Employees (India)
9352,William Penn,3.9,(57 Reviews),Private,Banglore + 7 more,21 years old,201-500 Employees (India)
9353,Topsel Toyota,4.3,(57 Reviews),Private,Kolkata + 3 more,42 years old,201-500 Employees (India)
9354,Dhanuka Laborato...,3.9,(57 Reviews),Private,Delhi + 5 more,201-500 Employees (India),
9355,Sms Integrated F...,3.8,(57 Reviews),Private,"Mumbai,Maharashtra + 15 more",55 years old,51-200 Employees (India)
9356,Thriveni Sainik ...,4.1,(57 Reviews),Private,Hazaribagh + 5 more,8 years old,51-200 Employees (India)
9357,Jindal ITF,4.2,(57 Reviews),Public,New Delhi + 10 more,16 years old,51-200 Employees (India)
9358,Utkal Automobile...,4.3,(57 Reviews),Bhubaneswar + 5 more,68 years old,201-500 Employees (India),
9359,The Beer Cafe,3.7,(57 Reviews),Private,"Gurgaon,Haryana + 9 more",11 years old,201-500 Employees (India)
9360,Sanathan Textile...,4.4,(57 Reviews),Mumbai + 4 more,22 years old,201-500 Employees (India),
9361,Ardom Telecom,3.8,(57 Reviews),Gurgaon + 7 more,14 years old,,
9362,Sun Pharma Advan...,4.2,(57 Reviews),Public,Mumbai + 8 more,17 years old,201-500 Employees (India)
9363,Bhagwan Mahaveer...,4.0,(57 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 3 more",48 years old,51-200 Employees (India)
9364,Kosan Crisplant,4.2,(57 Reviews),Randers + 11 more,72 years old,11-50 Employees (India),
9365,Lubi Electronics,4.4,(57 Reviews),Private,"Ahmedabad,Gujarat + 11 more",58 years old,1k-5k Employees (India)
9366,Sunstar Precisio...,4.1,(57 Reviews),Greater Noida + 2 more,18 years old,,
9367,Suryalakshmi Cot...,3.4,(57 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 6 more",61 years old,501-1k Employees (India)
9368,Insta Exhibition,3.2,(57 Reviews),Private,Mumbai + 5 more,20 years old,201-500 Employees (India)
9369,Apollo Life,4.1,(57 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 9 more",15 years old,501-1k Employees (Global)
9370,Contacare Eye Ho...,3.0,(57 Reviews),Thane + 16 more,36 years old,201-500 Employees (Global),
9371,Father Muller Me...,4.4,(57 Reviews),Mangaluru + 1 more,143 years old,1k-5k Employees (India),
9372,Anand Rathi Info...,3.3,(57 Reviews),Private,Jodhpur + 1 more,29 years old,201-500 Employees (Global)
9373,Vipul,4.2,(57 Reviews),Public,Gurgaon/Gurugram + 1 more,501-1k Employees (India),
9374,SHOW OFF RETAIL,3.6,(57 Reviews),"Delhi,NCT + 12 more",7 years old,11-50 Employees (India),
9375,Dormakaba India,4.0,(57 Reviews),"Chennai,Tamil Nadu + 19 more",26 years old,501-1k Employees (India),
9376,Niyo Solutions,3.8,(57 Reviews),Private,"Bangalore,Karnataka + 10 more",8 years old,201-500 Employees (India)
9377,Ujala Credit Co-...,4.5,(57 Reviews),Public,New Delhi + 22 more,11 years old,51-200 Employees (India)
9378,BACentric,4.7,(57 Reviews),Hyderabad/Secunderabad + 1 more,11-50 Employees (India),,
9379,Vflyorions,4.4,(57 Reviews),11-50 Employees (India),,,
9380,Ornate TechnoSer...,4.5,(57 Reviews),Private,"New Delhi,Delhi + 12 more",14 years old,51-200 Employees (India)
9381,Gainwell CAT,4.3,(57 Reviews),Kolkata + 15 more,501-1k Employees (India),,
9382,GRAVEIENS EDUSER...,3.9,(57 Reviews),"Noida,Uttar Pradesh + 4 more",6 years old,1-10 Employees (India),
9383,Clarus Rcm Infot...,3.4,(57 Reviews),Hyderabad/Secunderabad + 2 more,51-200 Employees (India),,
9384,Ice Mortgage Tec...,4.4,(57 Reviews),Public,"Atlanta,New York",23 years old,501-1k Employees (India)
9385,VFISLK,4.0,(57 Reviews),Bengaluru/Bangalore + 2 more,1k-5k Employees (India),,
9386,Chubb Group,4.0,(57 Reviews),Zurich + 1 more,38 years old,501-1k Employees (India),
9387,VFISLK,4.0,(57 Reviews),Bengaluru/Bangalore + 2 more,1k-5k Employees (India),,
9388,Denso Kirloskar ...,3.8,(57 Reviews),Bengaluru/Bangalore + 1 more,,,
9389,Firstsource Labo...,3.9,(57 Reviews),Hyderabad + 10 more,12 years old,51-200 Employees (India),
9390,Hitachi Solution...,4.2,(57 Reviews),Private,"Chiyoda City,Tokyo + 6 more",10 years old,501-1k Employees (India)
